3045,1136
2100,1343
2116,2827
677,1613
908,1179
2487,1450
3006,1009
1853,1857
1187,1454
2771,3404
2061,1101
2844,2012
3590,1737
2794,1068
2308,3352
3444,1478
3233,1194
1135,1523
1201,1355
2660,1248
928,1528
2664,1274
3229,2577
2779,4119
3258,1386
2548,1212
1562,1674
3445,15235
3225,1562
3230,5178
2399,2490
1120,4003
1728,4584
2113,1959
3069,1136
2049,8746
3624,1412
2754,1219
2291,1291
2400,2351
3062,5162
446,1027
1383,1387
1409,1357
3448,1674
1566,1043
1595,2571
3625,13085
1832,1697
3130,2124
2098,1298
2997,1540
1774,2982
3585,1212
1471,1466
2256,1661
2866,1492
1893,2868
3437,6404
2099,1054
787,6374
2251,1177
2180,3714
2442,1205
3310,2831
852,4386
2254,1095
2809,1969
1234,1291
2862,1606
2991,1050
1028,1426
3070,2254
3281,1394
1699,8096
2520,1708
3272,3707
2344,2866
948,3755
649,1393
884,3705
1453,1698
2713,1472
3202,1020
2295,1259
3101,1586
856,3465
1924,1963
1007,1710
3525,2301
3092,1433
1464,1874
1529,16478
507,1346
3506,1263
3623,1528
2351,1896
2020,9210
2702,2014
2554,1145
3475,1133
1955,1292
2148,2965
2185,1517
2202,1599
1826,2047
2048,1375
3294,1041
3266,3847
1742,2138
2580,2927
2544,1429
2914,1622
2690,1419
2896,1345
1684,4330
1088,1128
3513,1435
3388,1072
1879,1482
2687,1165
2509,1688
3623,8826
3622,2152
2142,1102
2222,1011
2274,1017
2552,1231
2174,5141
2179,1025
3129,2316
3621,7193
2203,5212
1212,1606
3625,1130
880,2278
2818,2077
3624,1131
495,1072
2875,1308
2917,1576
1778,3481
2207,1108
2784,2042
2503,1399
3417,1439
2632,2373
1952,1527
2816,3205
2771,1813
2685,2728
2112,4401
3447,12846
2672,2038
2994,1976
1867,1203
1082,1374
3041,1443
3565,1345
2137,1207
2472,7036
2546,1961
1172,1498
1088,1484
2265,3151
3620,1386
969,1449
3571,2961
1022,1029
2300,1886
1697,2358
1199,2552
1573,1026
2868,4652
207,2084
3319,3933
2778,1098
2081,1827
570,1235
1329,1527
2039,1506
2674,1930
3284,1213
1820,1175
2297,1418
1901,4873
2278,1109
1303,2463
1774,1101
2541,1499
1618,2039
1328,1421
1731,1258
3049,1489
678,1309
2173,2428
3168,10284
1611,2303
2720,1007
3081,1473
2144,1181
2416,1798
1476,2672
2000,1154
2578,1287
3567,1897
1748,2400
2847,1105
3213,1363
2321,3137
2514,1161
3226,2312
2953,2374
2517,3294
2027,2899
3226,4958
1697,2697
1664,1933
3092,2309
2124,1901
1628,1169
3002,1014
1409,1030
2742,1925
3455,3574
1377,2179
3620,6682
1239,1783
412,1729
2033,1083
1930,1552
3280,4099
908,1518
1439,1912
2028,2836
2288,7441
2259,1698
2661,1554
2773,2879
1746,2062
2890,1380
107,1672
3610,1691
1689,1032
3213,1693
2109,3860
2745,3855
2409,1205
1991,1276
3218,3280
2853,1324
2846,4189
2893,1636
2813,2481
1609,1045
2901,1470
1026,3583
2384,1849
1467,1197
2528,2373
1871,1150
2672,1034
2359,1365
1821,1805
562,1371
2662,1275
431,1127
2410,1187
2033,3229
1446,1121
3367,2008
2083,1426
2859,1512
1104,2822
3539,1184
3239,3796
1444,1680
2795,1400
1651,1059
3260,1728
3607,2059
2050,13773
3559,1420
1602,1236
3611,4540
2851,2178
3588,1331
3221,3508
2449,1449
2256,1698
802,2725
2875,1927
3391,2590
2557,1030
2143,1298
964,1376
3439,1173
1746,4147
2399,1009
250,1030
1067,1006
1575,1079
3069,2543
3485,3891
1631,1321
1948,1209
1919,1160
2533,1601
2112,1889
1913,1897
1986,1812
3400,3353
3161,6267
2969,27615
2124,1154
1990,1102
2712,1313
3597,1435
1059,1052
2665,1077
3575,2515
3429,3193
2052,1953
3417,1069
2982,1382
2647,3457
3271,1918
2688,1262
1809,1244
2424,1891
3592,2472
2311,1264
3238,1329
3023,9667
1559,6487
2524,1531
2555,3056
2427,1081
3591,1823
2913,1730
2024,1292
3448,1698
1524,1110
3492,5919
2832,1422
3538,2902
2155,1252
1650,1296
2011,1576
1462,2311
2818,1285
1849,1706
3117,1006
2351,1259
3586,1762
1900,1718
2861,1058
3171,3182
2973,4428
1838,1282
2235,1650
1829,1491
2217,2629
2811,4354
1787,1334
2011,1497
3516,1337
3239,1990
1523,1286
1386,1333
3239,1336
2282,6089
3167,5971
2273,2192
1448,1819
1661,1950
3447,2779
2022,1318
3198,3684
2629,1708
3621,1392
1966,2104
3010,1803
1560,1466
3400,1002
1775,2046
3542,14363
2270,1230
2517,1575
3246,5380
3201,1664
3375,1073
1031,3149
2807,2293
3417,2947
2012,2059
1825,1831
3625,1309
1687,1384
2174,3942
3086,1371
3259,1077
3291,1916
2119,4008
1413,2477
2729,1723
485,1908
2160,3237
3104,1068
1431,1920
2340,1428
2258,1625
935,4832
1641,4025
3159,1023
1427,1198
2015,2830
2878,1410
910,1374
2683,4129
2786,1895
2884,2473
1860,2291
1976,2141
1681,1132
3453,2136
2847,1094
1620,1463
2700,1008
2781,2171
2452,3569
3624,4062
2548,1119
2950,2377
2337,1621
3145,2162
2978,3816
3038,1268
1620,4493
1720,1313
2067,1010
3344,2517
1817,1158
1936,1022
2181,1369
483,1388
1766,1149
1232,3391
3583,1071
3260,1274
3100,1831
2803,1547
2504,1751
2022,2015
2160,1839
1647,1143
2101,1881
2054,1245
1796,1906
1712,1131
2104,2730
